Source,starttime,endtime,REP,Daily.germ,Cum.Germ
S3,10,11,4,17,31
S3,11,12,1,1,37
S3,11,12,2,1,36
S3,11,12,3,7,32
S3,11,12,4,7,38
S3,12,13,1,0,37
S3,12,13,2,0,36
S3,12,13,3,0,32
S3,12,13,4,0,38
S3,13,14,1,1,38
S3,13,14,2,1,37
S3,13,14,3,4,36
S3,13,14,4,0,38
S3,14,15,1,0,38
S3,14,15,2,0,37
S3,14,15,3,0,36
S3,14,15,4,1,39
S3,15,16,1,2,40
S3,15,16,2,1,38
S3,15,16,3,0,36
S3,15,16,4,0,39
S3,16,17,1,1,41
S3,16,17,2,1,39
S3,16,17,3,0,36
S3,16,17,4,1,40
S3,17,18,1,0,41
S3,17,18,2,0,39
S3,17,18,3,1,37
S3,17,18,4,1,41
S3,18,19,1,0,41
S3,18,19,2,0,39
S3,18,19,3,2,39
S3,18,19,4,0,41
S3,19,20,1,1,42
S3,19,20,2,0,39
S3,19,20,3,0,39
S3,19,20,4,2,43
S3,20,Inf,1,8,NA
S3,20,Inf,2,8,NA
S3,20,Inf,3,11,NA
S3,20,Inf,4,9,NA
