run,trt.no,trt.name,replicate,time.hat,pct.absorption
2,4,MCPA,3,4,41.4808016147411
2,5,MSO_MCPA,1,4,87.2820295785472
2,5,MSO_MCPA,2,4,87.4938983860582
2,5,MSO_MCPA,3,4,80.0547327752737
2,1,NIS_UAN,1,8,69.9784641310684
2,1,NIS_UAN,2,8,83.5643899570555
2,1,NIS_UAN,3,8,83.8366430518821
2,2,NIS_UAN_MCPA,1,8,84.6044803720221
2,2,NIS_UAN_MCPA,2,8,85.2785432163906
2,2,NIS_UAN_MCPA,3,8,83.1942500167253
2,3,MSO,1,8,78.3975655380973
2,3,MSO,2,8,89.9790930718766
2,3,MSO,3,8,93.4824264178578
2,4,MCPA,1,8,39.4059837203604
2,4,MCPA,2,8,44.23892879505
2,4,MCPA,3,8,44.943627956178
2,5,MSO_MCPA,1,8,91.2802743908772
2,5,MSO_MCPA,2,8,86.1397295556987
2,5,MSO_MCPA,3,8,91.069963442245
2,1,NIS_UAN,1,24,86.2105525757765
2,1,NIS_UAN,2,24,81.8266286182678
2,1,NIS_UAN,3,24,74.3047299997709
2,2,NIS_UAN_MCPA,1,24,90.8285797596852
2,2,NIS_UAN_MCPA,2,24,89.5921667333577
2,2,NIS_UAN_MCPA,3,24,89.3925986889856
2,3,MSO,1,24,88.8130859915993
2,3,MSO,2,24,91.11360695734
2,3,MSO,3,24,94.1153258027919
2,4,MCPA,1,24,47.1413404062521
2,4,MCPA,2,24,75.4572571957485
2,4,MCPA,3,24,53.9145416149745
2,5,MSO_MCPA,1,24,92.8326807635586
2,5,MSO_MCPA,2,24,93.8484047525082
2,5,MSO_MCPA,3,24,93.8604781588185
