"run","trt","imaz.rate","gr","rep","plot","mort.21dat","regrowth.28dat","control"
"2012_GH0130",15,35,"2,4-D ester",6,192,0,1,1
"2012_GH0130",16,70,"2,4-D ester",1,16,1,1,0
"2012_GH0130",16,70,"2,4-D ester",2,37,0,1,1
"2012_GH0130",16,70,"2,4-D ester",3,99,0,1,1
"2012_GH0130",16,70,"2,4-D ester",4,139,0,1,1
"2012_GH0130",16,70,"2,4-D ester",5,148,0,0,1
"2012_GH0130",16,70,"2,4-D ester",6,201,0,1,1
"2012_GH0130",17,4.4,"MCPA amine",1,17,1,1,0
"2012_GH0130",17,4.4,"MCPA amine",2,67,1,1,0
"2012_GH0130",17,4.4,"MCPA amine",3,74,1,0,0
"2012_GH0130",17,4.4,"MCPA amine",4,116,1,0,0
"2012_GH0130",17,4.4,"MCPA amine",5,175,1,0,0
"2012_GH0130",17,4.4,"MCPA amine",6,200,1,1,0
"2012_GH0130",18,8.8,"MCPA amine",1,18,1,0,0
"2012_GH0130",18,8.8,"MCPA amine",2,57,1,1,0
"2012_GH0130",18,8.8,"MCPA amine",3,96,1,0,0
"2012_GH0130",18,8.8,"MCPA amine",4,122,1,1,0
"2012_GH0130",18,8.8,"MCPA amine",5,180,1,1,0
"2012_GH0130",18,8.8,"MCPA amine",6,196,1,1,0
"2012_GH0130",19,17.5,"MCPA amine",1,19,1,1,0
"2012_GH0130",19,17.5,"MCPA amine",2,51,1,1,0
"2012_GH0130",19,17.5,"MCPA amine",3,104,1,1,0
"2012_GH0130",19,17.5,"MCPA amine",4,133,1,0,0
"2012_GH0130",19,17.5,"MCPA amine",5,157,1,0,0
"2012_GH0130",19,17.5,"MCPA amine",6,205,1,0,0
"2012_GH0130",20,35,"MCPA amine",1,20,0,1,1
"2012_GH0130",20,35,"MCPA amine",2,66,1,1,0
"2012_GH0130",20,35,"MCPA amine",3,89,1,1,0
"2012_GH0130",20,35,"MCPA amine",4,141,1,0,0
"2012_GH0130",20,35,"MCPA amine",5,161,0,1,1
"2012_GH0130",20,35,"MCPA amine",6,204,1,1,0
"2012_GH0130",21,70,"MCPA amine",1,21,0,0,1
"2012_GH0130",21,70,"MCPA amine",2,53,1,1,0
"2012_GH0130",21,70,"MCPA amine",3,108,1,1,0
"2012_GH0130",21,70,"MCPA amine",4,118,0,0,1
"2012_GH0130",21,70,"MCPA amine",5,179,0,1,1
"2012_GH0130",21,70,"MCPA amine",6,191,1,1,0
"2012_GH0130",22,4.4,"MCPA ester",1,22,1,1,0
"2012_GH0130",22,4.4,"MCPA ester",2,46,1,1,0
"2012_GH0130",22,4.4,"MCPA ester",3,102,1,1,0
"2012_GH0130",22,4.4,"MCPA ester",4,142,1,0,0
"2012_GH0130",22,4.4,"MCPA ester",5,145,0,1,1
"2012_GH0130",22,4.4,"MCPA ester",6,213,1,0,0
"2012_GH0130",23,8.8,"MCPA ester",1,23,0,1,1
"2012_GH0130",23,8.8,"MCPA ester",2,44,0,1,1
"2012_GH0130",23,8.8,"MCPA ester",3,75,0,1,1
"2012_GH0130",23,8.8,"MCPA ester",4,140,1,1,0
"2012_GH0130",23,8.8,"MCPA ester",5,151,1,0,0
"2012_GH0130",23,8.8,"MCPA ester",6,214,1,1,0
"2012_GH0130",24,17.5,"MCPA ester",1,24,0,0,1
"2012_GH0130",24,17.5,"MCPA ester",2,52,1,0,0
"2012_GH0130",24,17.5,"MCPA ester",3,95,0,1,1
"2012_GH0130",24,17.5,"MCPA ester",4,125,1,1,0
"2012_GH0130",24,17.5,"MCPA ester",5,173,1,1,0
"2012_GH0130",24,17.5,"MCPA ester",6,216,1,0,0
"2012_GH0130",25,35,"MCPA ester",1,25,0,0,1
"2012_GH0130",25,35,"MCPA ester",2,72,0,1,1
"2012_GH0130",25,35,"MCPA ester",3,79,1,1,0
"2012_GH0130",25,35,"MCPA ester",4,132,0,0,1
"2012_GH0130",25,35,"MCPA ester",5,160,0,1,1
"2012_GH0130",25,35,"MCPA ester",6,198,1,1,0
"2012_GH0130",26,70,"MCPA ester",1,26,0,0,1
"2012_GH0130",26,70,"MCPA ester",2,48,0,1,1
"2012_GH0130",26,70,"MCPA ester",3,83,0,0,1
"2012_GH0130",26,70,"MCPA ester",4,134,0,0,1
"2012_GH0130",26,70,"MCPA ester",5,163,0,1,1
"2012_GH0130",26,70,"MCPA ester",6,184,0,1,1
"2012_GH0130",27,4.4,"dicamba",1,27,1,1,0
"2012_GH0130",27,4.4,"dicamba",2,60,1,0,0
"2012_GH0130",27,4.4,"dicamba",3,91,1,0,0
"2012_GH0130",27,4.4,"dicamba",4,143,1,0,0
"2012_GH0130",27,4.4,"dicamba",5,178,1,0,0
"2012_GH0130",27,4.4,"dicamba",6,186,1,1,0
"2012_GH0130",28,8.8,"dicamba",1,28,1,0,0
"2012_GH0130",28,8.8,"dicamba",2,43,1,1,0
"2012_GH0130",28,8.8,"dicamba",3,92,1,0,0
"2012_GH0130",28,8.8,"dicamba",4,127,1,0,0
"2012_GH0130",28,8.8,"dicamba",5,162,1,1,0
"2012_GH0130",28,8.8,"dicamba",6,182,1,1,0
"2012_GH0130",29,17.5,"dicamba",1,29,1,1,0
"2012_GH0130",29,17.5,"dicamba",2,56,1,1,0
"2012_GH0130",29,17.5,"dicamba",3,101,1,1,0
"2012_GH0130",29,17.5,"dicamba",4,128,1,1,0
"2012_GH0130",29,17.5,"dicamba",5,168,1,0,0
"2012_GH0130",29,17.5,"dicamba",6,188,1,0,0
"2012_GH0130",30,35,"dicamba",1,30,0,0,1
"2012_GH0130",30,35,"dicamba",2,38,1,1,0
"2012_GH0130",30,35,"dicamba",3,100,1,1,0
"2012_GH0130",30,35,"dicamba",4,131,1,0,0
"2012_GH0130",30,35,"dicamba",5,155,1,0,0
"2012_GH0130",30,35,"dicamba",6,185,1,1,0
"2012_GH0130",31,70,"dicamba",1,31,1,1,0
"2012_GH0130",31,70,"dicamba",2,58,1,1,0
"2012_GH0130",31,70,"dicamba",3,103,0,1,1
"2012_GH0130",31,70,"dicamba",4,113,0,0,1
"2012_GH0130",31,70,"dicamba",5,153,0,1,1
"2012_GH0130",31,70,"dicamba",6,212,0,1,1
"2012_GH0130",32,4.4,"fluroxypyr",1,32,1,1,0
"2012_GH0130",32,4.4,"fluroxypyr",2,49,1,1,0
"2012_GH0130",32,4.4,"fluroxypyr",3,81,1,1,0
"2012_GH0130",32,4.4,"fluroxypyr",4,110,1,1,0
"2012_GH0130",32,4.4,"fluroxypyr",5,172,1,1,0
"2012_GH0130",32,4.4,"fluroxypyr",6,190,1,0,0
"2012_GH0130",33,8.8,"fluroxypyr",1,33,1,0,0
"2012_GH0130",33,8.8,"fluroxypyr",2,70,1,0,0
"2012_GH0130",33,8.8,"fluroxypyr",3,76,1,0,0
"2012_GH0130",33,8.8,"fluroxypyr",4,115,1,1,0
"2012_GH0130",33,8.8,"fluroxypyr",5,174,1,1,0
"2012_GH0130",33,8.8,"fluroxypyr",6,183,1,0,0
"2012_GH0130",34,17.5,"fluroxypyr",1,34,1,1,0
"2012_GH0130",34,17.5,"fluroxypyr",2,40,1,1,0
"2012_GH0130",34,17.5,"fluroxypyr",3,98,1,0,0
"2012_GH0130",34,17.5,"fluroxypyr",4,136,1,0,0
"2012_GH0130",34,17.5,"fluroxypyr",5,150,1,0,0
"2012_GH0130",34,17.5,"fluroxypyr",6,208,1,1,0
"2012_GH0130",35,35,"fluroxypyr",1,35,1,1,0
"2012_GH0130",35,35,"fluroxypyr",2,61,1,0,0
"2012_GH0130",35,35,"fluroxypyr",3,85,1,1,0
"2012_GH0130",35,35,"fluroxypyr",4,123,1,0,0
"2012_GH0130",35,35,"fluroxypyr",5,176,1,1,0
"2012_GH0130",35,35,"fluroxypyr",6,197,1,0,0
"2012_GH0130",36,70,"fluroxypyr",1,36,0,0,1
"2012_GH0130",36,70,"fluroxypyr",2,71,0,0,1
"2012_GH0130",36,70,"fluroxypyr",3,77,0,1,1
"2012_GH0130",36,70,"fluroxypyr",4,135,1,1,0
"2012_GH0130",36,70,"fluroxypyr",5,166,1,1,0
"2012_GH0130",36,70,"fluroxypyr",6,203,0,0,1
"2012_GH0201",1,0,"Control",1,1,1,1,0
"2012_GH0201",1,0,"Control",2,41,1,1,0
"2012_GH0201",1,0,"Control",3,80,1,1,0
"2012_GH0201",1,0,"Control",4,135,1,1,0
"2012_GH0201",1,0,"Control",5,168,0,1,1
"2012_GH0201",1,0,"Control",6,207,1,0,0
"2012_GH0201",2,4.4,"None",1,2,1,0,0
"2012_GH0201",2,4.4,"None",2,62,1,1,0
"2012_GH0201",2,4.4,"None",3,78,1,0,0
"2012_GH0201",2,4.4,"None",4,139,1,1,0
"2012_GH0201",2,4.4,"None",5,154,1,0,0
"2012_GH0201",2,4.4,"None",6,191,1,1,0
"2012_GH0201",3,8.8,"None",1,3,1,1,0
"2012_GH0201",3,8.8,"None",2,56,1,0,0
"2012_GH0201",3,8.8,"None",3,73,1,0,0
"2012_GH0201",3,8.8,"None",4,131,1,0,0
"2012_GH0201",3,8.8,"None",5,173,1,1,0
"2012_GH0201",3,8.8,"None",6,211,1,1,0
"2012_GH0201",4,17.5,"None",1,4,1,1,0
"2012_GH0201",4,17.5,"None",2,49,1,1,0
"2012_GH0201",4,17.5,"None",3,98,1,0,0
"2012_GH0201",4,17.5,"None",4,132,1,0,0
"2012_GH0201",4,17.5,"None",5,166,1,1,0
"2012_GH0201",4,17.5,"None",6,188,1,1,0
"2012_GH0201",5,35,"None",1,5,1,1,0
"2012_GH0201",5,35,"None",2,45,1,1,0
"2012_GH0201",5,35,"None",3,86,1,0,0
"2012_GH0201",5,35,"None",4,123,1,0,0
"2012_GH0201",5,35,"None",5,171,1,1,0
"2012_GH0201",5,35,"None",6,212,0,1,1
"2012_GH0201",6,70,"None",1,6,1,0,0
"2012_GH0201",6,70,"None",2,40,1,1,0
"2012_GH0201",6,70,"None",3,75,0,0,1
"2012_GH0201",6,70,"None",4,134,1,1,0
"2012_GH0201",6,70,"None",5,169,1,1,0
"2012_GH0201",6,70,"None",6,192,1,0,0
"2012_GH0201",7,4.4,"2,4-D amine",1,7,1,1,0
"2012_GH0201",7,4.4,"2,4-D amine",2,55,1,0,0
"2012_GH0201",7,4.4,"2,4-D amine",3,85,1,1,0
"2012_GH0201",7,4.4,"2,4-D amine",4,128,1,1,0
"2012_GH0201",7,4.4,"2,4-D amine",5,177,1,1,0
"2012_GH0201",7,4.4,"2,4-D amine",6,189,1,1,0
"2012_GH0201",8,8.8,"2,4-D amine",1,8,1,1,0
"2012_GH0201",8,8.8,"2,4-D amine",2,47,1,1,0
"2012_GH0201",8,8.8,"2,4-D amine",3,84,1,1,0
"2012_GH0201",8,8.8,"2,4-D amine",4,113,1,1,0
"2012_GH0201",8,8.8,"2,4-D amine",5,165,1,1,0
"2012_GH0201",8,8.8,"2,4-D amine",6,215,1,1,0
"2012_GH0201",9,17.5,"2,4-D amine",1,9,1,1,0
"2012_GH0201",9,17.5,"2,4-D amine",2,71,1,1,0
"2012_GH0201",9,17.5,"2,4-D amine",3,100,1,1,0
"2012_GH0201",9,17.5,"2,4-D amine",4,138,1,1,0
"2012_GH0201",9,17.5,"2,4-D amine",5,150,1,0,0
"2012_GH0201",9,17.5,"2,4-D amine",6,214,1,1,0
"2012_GH0201",10,35,"2,4-D amine",1,10,1,0,0
"2012_GH0201",10,35,"2,4-D amine",2,39,1,1,0
"2012_GH0201",10,35,"2,4-D amine",3,93,1,1,0
"2012_GH0201",10,35,"2,4-D amine",4,112,0,1,1
"2012_GH0201",10,35,"2,4-D amine",5,167,1,1,0
"2012_GH0201",10,35,"2,4-D amine",6,181,1,1,0
"2012_GH0201",11,70,"2,4-D amine",1,11,0,0,1
"2012_GH0201",11,70,"2,4-D amine",2,53,0,1,1
"2012_GH0201",11,70,"2,4-D amine",3,81,1,1,0
"2012_GH0201",11,70,"2,4-D amine",4,143,1,1,0
"2012_GH0201",11,70,"2,4-D amine",5,175,1,0,0
"2012_GH0201",11,70,"2,4-D amine",6,182,1,1,0
"2012_GH0201",12,4.4,"2,4-D ester",1,12,1,1,0
"2012_GH0201",12,4.4,"2,4-D ester",2,42,1,1,0
"2012_GH0201",12,4.4,"2,4-D ester",3,96,1,0,0
"2012_GH0201",12,4.4,"2,4-D ester",4,110,1,1,0
"2012_GH0201",12,4.4,"2,4-D ester",5,178,1,1,0
"2012_GH0201",12,4.4,"2,4-D ester",6,183,1,1,0
"2012_GH0201",13,8.8,"2,4-D ester",1,13,1,0,0
"2012_GH0201",13,8.8,"2,4-D ester",2,44,1,1,0
"2012_GH0201",13,8.8,"2,4-D ester",3,89,1,0,0
"2012_GH0201",13,8.8,"2,4-D ester",4,117,1,1,0
"2012_GH0201",13,8.8,"2,4-D ester",5,156,1,1,0
"2012_GH0201",13,8.8,"2,4-D ester",6,208,1,1,0
"2012_GH0201",14,17.5,"2,4-D ester",1,14,1,1,0
"2012_GH0201",14,17.5,"2,4-D ester",2,59,1,1,0
"2012_GH0201",14,17.5,"2,4-D ester",3,107,0,1,1
"2012_GH0201",14,17.5,"2,4-D ester",4,124,1,0,0
"2012_GH0201",14,17.5,"2,4-D ester",5,157,1,1,0
"2012_GH0201",14,17.5,"2,4-D ester",6,213,1,1,0
"2012_GH0201",15,35,"2,4-D ester",1,15,0,1,1
"2012_GH0201",15,35,"2,4-D ester",2,61,1,1,0
"2012_GH0201",15,35,"2,4-D ester",3,104,0,1,1
"2012_GH0201",15,35,"2,4-D ester",4,133,1,0,0
"2012_GH0201",15,35,"2,4-D ester",5,148,0,1,1
"2012_GH0201",15,35,"2,4-D ester",6,185,1,1,0
"2012_GH0201",16,70,"2,4-D ester",1,16,0,1,1
"2012_GH0201",16,70,"2,4-D ester",2,38,1,0,0
"2012_GH0201",16,70,"2,4-D ester",3,92,1,1,0
"2012_GH0201",16,70,"2,4-D ester",4,126,0,1,1
"2012_GH0201",16,70,"2,4-D ester",5,172,0,1,1
"2012_GH0201",16,70,"2,4-D ester",6,194,0,1,1
"2012_GH0201",17,4.4,"MCPA amine",1,17,1,1,0
"2012_GH0201",17,4.4,"MCPA amine",2,46,1,1,0
"2012_GH0201",17,4.4,"MCPA amine",3,74,1,0,0
"2012_GH0201",17,4.4,"MCPA amine",4,120,1,1,0
"2012_GH0201",17,4.4,"MCPA amine",5,164,1,0,0
"2012_GH0201",17,4.4,"MCPA amine",6,198,1,0,0
"2012_GH0201",18,8.8,"MCPA amine",1,18,1,1,0
"2012_GH0201",18,8.8,"MCPA amine",2,60,1,0,0
"2012_GH0201",18,8.8,"MCPA amine",3,91,1,1,0
"2012_GH0201",18,8.8,"MCPA amine",4,121,1,1,0
"2012_GH0201",18,8.8,"MCPA amine",5,180,1,0,0
"2012_GH0201",18,8.8,"MCPA amine",6,201,1,1,0
"2012_GH0201",19,17.5,"MCPA amine",1,19,1,0,0
"2012_GH0201",19,17.5,"MCPA amine",2,72,1,1,0
"2012_GH0201",19,17.5,"MCPA amine",3,82,1,0,0
"2012_GH0201",19,17.5,"MCPA amine",4,129,1,0,0
"2012_GH0201",19,17.5,"MCPA amine",5,170,1,1,0
"2012_GH0201",19,17.5,"MCPA amine",6,196,1,1,0
"2012_GH0201",20,35,"MCPA amine",1,20,1,0,0
"2012_GH0201",20,35,"MCPA amine",2,69,0,0,1
"2012_GH0201",20,35,"MCPA amine",3,90,1,1,0
"2012_GH0201",20,35,"MCPA amine",4,127,0,1,1
"2012_GH0201",20,35,"MCPA amine",5,153,1,1,0
"2012_GH0201",20,35,"MCPA amine",6,203,0,1,1
"2012_GH0201",21,70,"MCPA amine",1,21,1,1,0
"2012_GH0201",21,70,"MCPA amine",2,65,0,1,1
"2012_GH0201",21,70,"MCPA amine",3,88,0,1,1
"2012_GH0201",21,70,"MCPA amine",4,141,1,1,0
"2012_GH0201",21,70,"MCPA amine",5,159,1,1,0
"2012_GH0201",21,70,"MCPA amine",6,186,1,0,0
"2012_GH0201",22,4.4,"MCPA ester",1,22,1,1,0
"2012_GH0201",22,4.4,"MCPA ester",2,67,1,1,0
"2012_GH0201",22,4.4,"MCPA ester",3,105,1,1,0
"2012_GH0201",22,4.4,"MCPA ester",4,137,1,1,0
"2012_GH0201",22,4.4,"MCPA ester",5,174,1,1,0
"2012_GH0201",22,4.4,"MCPA ester",6,193,1,1,0
