run,cultivar,rate,injury.10dat,injury.20dat,drywt,rel.drywt
1,Sunrise,25,0,5,0.13,88.89
1,Sunrise,50,30,5,0.15,96.67
1,Sunrise,50,10,10,0.22,148.33
1,Sunrise,50,20,15,0.05,30.67
1,Sunrise,50,30,10,0.28,186.67
1,Sunrise,50,30,5,0.09,57.78
1,Sunrise,100,15,15,0.2,135
1,Sunrise,100,15,10,0.13,86.67
1,Sunrise,100,90,100,0.01,8
1,Sunrise,100,50,10,0.31,203.33
1,Sunrise,100,70,10,0.16,106.67
1,Sunrise,200,100,100,0,2.22
1,Sunrise,200,90,10,0.05,33.33
1,Sunrise,200,90,100,0.01,4.44
1,Sunrise,200,100,100,0,0
1,Sunrise,200,95,100,0,2.22
1,Sunrise,400,100,100,0,2.22
1,Sunrise,400,100,100,0,0
1,Sunrise,400,95,100,0,0
1,Sunrise,400,100,100,0,0
1,Sunrise,400,100,100,0,0
1,WhiteWonder,0,0,5,0.39,162.5
1,WhiteWonder,0,0,0,0.38,156.25
1,WhiteWonder,0,0,5,0.14,58.33
1,WhiteWonder,0,0,0,0.12,51.67
1,WhiteWonder,0,10,10,0.18,72.92
1,WhiteWonder,25,40,10,0.22,90
1,WhiteWonder,25,15,5,0.13,55
1,WhiteWonder,25,70,20,0.26,106.25
1,WhiteWonder,25,0,5,0.04,16.67
1,WhiteWonder,25,10,10,0.08,31.25
1,WhiteWonder,50,90,100,0,0
1,WhiteWonder,50,95,90,0.01,4.17
1,WhiteWonder,50,95,100,0.01,3.33
1,WhiteWonder,50,90,100,0,0
1,WhiteWonder,50,80,80,0.16,64.58
1,WhiteWonder,100,95,100,0,0
1,WhiteWonder,100,90,100,0,0
1,WhiteWonder,100,100,100,0.01,2.08
1,WhiteWonder,100,60,100,0,0
1,WhiteWonder,100,100,100,0,0
1,WhiteWonder,200,100,100,0,1.67
1,WhiteWonder,200,100,100,0,0
1,WhiteWonder,200,100,100,0,0
1,WhiteWonder,200,100,100,0,0.83
1,WhiteWonder,200,100,100,0,0.83
1,WhiteWonder,400,100,100,0,0
1,WhiteWonder,400,100,100,0,0
1,WhiteWonder,400,100,100,0,0
1,WhiteWonder,400,100,100,0,0
1,WhiteWonder,400,95,100,0.05,22.22
2,Dawn,0,5,0,0.12,117.5
2,Dawn,0,0,5,0.13,130
2,Dawn,0,5,5,0.06,64
2,Dawn,0,0,0,0.13,130
2,Dawn,0,0,0,0.07,67.5
2,Dawn,25,5,5,0.09,86.67
2,Dawn,25,5,5,0.08,82.5
2,Dawn,25,5,5,0.05,51.67
2,Dawn,25,5,5,0.11,105
2,Dawn,25,0,0,0.02,22.5
2,Dawn,50,10,5,0.04,44
2,Dawn,50,35,15,0.04,40
2,Dawn,50,58,5,0.02,20
2,Dawn,50,10,5,0.1,96.67
2,Dawn,50,0,0,0.05,50
2,Dawn,100,5,0,0.11,110
2,Dawn,100,80,20,0.03,25
2,Dawn,100,5,5,0.04,37.5
2,Dawn,100,90,20,0.04,40
